disasterNumber,damagedCity,damagedStateAbbreviation,damagedZipCode,householdComposition,grossIncome,specialNeeds,ownRent,residenceType,homeOwnersInsurance,floodInsurance,inspected,rpfvl,habitabilityRepairsRequired,destroyed,waterLevel,highWaterLocation,floodDamage,foundationDamage,foundationDamageAmount,roofDamage,roofDamageAmount,tsaEligible,tsaCheckedIn,rentalAssistanceEligible,rentalAssistanceAmount,repairAssistanceEligible,repairAmount,replacementAssistanceEligible,replacementAmount,sbaEligible,renterDamageLevel,rentalAssistanceEndDate,rentalResourceCity,rentalResourceStateAbbreviation,rentalResourceZipCode,primaryResidence,personalPropertyEligible,ppfvl,censusBlockId,id,censusYear
4339,SAN JUAN,PR,926,2,862750.0,0,Owner,House/Duplex,0.0,0.0,1.0,3175.19,1.0,0.0,0.0,,0.0,0.0,,1.0,718.38,1.0,0.0,0.0,,1.0,3175.19,0.0,,0.0,,,,,,1.0,0.0,1639.57,721270094001002.0,23140838-0c91-4c3f-a468-6fceb6d0c220,2010.0
4332,HOUSTON,TX,77024,4,220000.0,0,Owner,Townhouse,0.0,0.0,1.0,1571.88,1.0,0.0,9.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,2132.0,1.0,1571.88,0.0,,0.0,,,,,,1.0,0.0,329.98,482014309004011.0,1672cb96-8da0-4c41-9828-9c7e1bf0e00b,2010.0
4332,HOUSTON,TX,77078,3,,0,Owner,House/Duplex,0.0,0.0,1.0,24744.56,1.0,0.0,31.0,,1.0,0.0,,0.0,,0.0,0.0,1.0,2666.0,1.0,24744.56,0.0,,0.0,,,,,,1.0,0.0,8906.27,482012311001155.0,6b2cd2a1-6647-4365-a4da-d1acea486318,2010.0
4337,MIAMI,FL,33184,1,24000.0,0,Owner,House/Duplex,0.0,0.0,1.0,2164.5,1.0,0.0,1.0,,1.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,2164.5,0.0,,0.0,,,,,,1.0,0.0,0.0,120860150002004.0,679b27f2-a93e-4603-ac7d-b40e17ad0038,2010.0
4339,COMERIO,PR,782,2,1000.0,0,Owner,House/Duplex,0.0,0.0,1.0,854.78,1.0,0.0,0.0,,0.0,0.0,,1.0,327.66,1.0,0.0,1.0,918.0,1.0,854.78,0.0,,0.0,,,,,,1.0,1.0,615.86,720459519002036.0,3164a32b-d1cf-4ddf-9a09-9a7ffdf5d5cf,2010.0
4339,PONCE,PR,716,1,18000.0,0,Owner,House/Duplex,0.0,0.0,1.0,384.0,1.0,0.0,0.0,,0.0,0.0,,1.0,384.0,1.0,0.0,1.0,790.0,1.0,384.0,0.0,,0.0,,,,,,1.0,1.0,957.32,721130721023018.0,f1272b2d-7286-45e6-9094-7c50217ab470,2010.0
4337,NAPLES,FL,34108,2,,0,Owner,House/Duplex,0.0,0.0,1.0,499.5,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,499.5,0.0,,0.0,,,,,,1.0,0.0,0.0,120210102084006.0,e04badae-9f90-453a-bbbd-7bcf102bfbc6,2010.0
4339,GURABO,PR,778,1,9360.0,0,Owner,House/Duplex,0.0,0.0,1.0,3301.29,1.0,0.0,0.0,,0.0,0.0,,1.0,1329.02,1.0,0.0,0.0,,1.0,3301.29,0.0,,0.0,,,,,,1.0,0.0,114.98,720632104002019.0,afc22429-6c3e-4434-a7f2-c4bd2c15c86e,2010.0
4332,KATY,TX,77450,3,140000.0,0,Owner,House/Duplex,1.0,0.0,1.0,11098.31,1.0,0.0,23.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,1952.0,1.0,11098.31,0.0,,0.0,,,,,,1.0,0.0,3549.81,481576730022031.0,0e02151a-8b23-4443-8480-32b7c3e22d8f,2010.0
4332,HOUSTON,TX,77044,3,40000.0,0,Owner,House/Duplex,0.0,0.0,1.0,25464.32,1.0,0.0,32.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,2132.0,1.0,25464.32,0.0,,0.0,,,,,,1.0,0.0,2278.24,482012323011035.0,87050afb-c4d2-4d3a-ba26-8006005c8959,2010.0
4393,CHAPEL HILL,NC,27517,1,14028.0,0,Owner,House/Duplex,1.0,0.0,1.0,1020.92,1.0,0.0,1.0,,1.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,966.03,0.0,,0.0,,,,,,1.0,0.0,0.0,371350121004022.0,76883cbe-e391-4b29-bd19-aca5ccffa900,2010.0
4611,METAIRIE,LA,70003,3,70000.0,0,Owner,House/Duplex,1.0,1.0,1.0,1500.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,1500.0,0.0,,0.0,,,,,,1.0,0.0,267.94,220510236002018.0,e751391e-2e7e-48f5-b2c2-3e1b6ad79c87,2020.0
4611,NEW ORLEANS,LA,70124,1,,0,Owner,House/Duplex,1.0,0.0,1.0,10551.29,1.0,0.0,15.0,,1.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,8816.97,0.0,,0.0,,,,,,1.0,0.0,0.0,220710076082003.0,3bc8614e-8d1d-4b07-b322-1b3c7b55abdd,2020.0
4611,WILSON,LA,70789,1,8640.0,0,Owner,Mobile Home,0.0,0.0,1.0,8050.73,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,1.0,1712.0,1.0,8050.73,0.0,,0.0,,,,,,1.0,1.0,4913.66,220379513003069.0,3b5c11a7-fc23-4bc6-8a96-9a8c28cd3486,2020.0
4339,ISABELA,PR,662,2,5500.0,0,Owner,House/Duplex,0.0,0.0,1.0,5842.01,1.0,0.0,0.0,,0.0,0.0,,1.0,2076.67,1.0,0.0,1.0,748.0,1.0,5842.01,0.0,,0.0,,,,,,1.0,1.0,1058.31,720714105001002.0,c32f4966-29b7-42b3-8bc3-4560a4e5d3ee,2010.0
4339,GUAYAMA,PR,784,1,3000.0,0,Owner,House/Duplex,0.0,0.0,1.0,1845.52,1.0,0.0,0.0,,0.0,0.0,,1.0,1536.0,1.0,0.0,0.0,,1.0,1845.52,0.0,,0.0,,,,,,1.0,1.0,1110.4,720572706001000.0,e1a61261-586d-41ee-b115-3a2c0ed0540a,2010.0
4337,MIAMI,FL,33128,1,,0,Owner,Other,0.0,0.0,1.0,10000.0,1.0,0.0,7.0,,1.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,1665.0,0.0,,0.0,,,,,,1.0,0.0,1927.8,120860036011009.0,6cab80cc-5084-41e0-a6ac-57a5a4e5157c,2010.0
4339,AIBONITO,PR,705,1,36000.0,0,Owner,House/Duplex,0.0,0.0,1.0,3328.0,1.0,0.0,0.0,,0.0,0.0,,1.0,3328.0,1.0,0.0,0.0,,1.0,3328.0,0.0,,0.0,,,,,,1.0,0.0,0.0,720092505001013.0,264fe283-3432-40b2-b865-6c31a951875f,2010.0
4586,TEAGUE,TX,75860,2,26156.0,1,Owner,House/Duplex,0.0,0.0,1.0,3523.02,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,1.0,1114.0,1.0,3523.02,0.0,,0.0,,,,,,1.0,0.0,0.0,481610007002085.0,cf1f4a6a-7a14-44bc-8dd0-48fb7f5dde2b,2020.0
4332,HOUSTON,TX,77099,2,37200.0,0,Owner,House/Duplex,0.0,0.0,1.0,435.24,1.0,0.0,0.0,,0.0,0.0,,1.0,134.46,1.0,0.0,0.0,,1.0,435.24,0.0,,0.0,,,,,,1.0,0.0,0.0,482014534012003.0,b6e9a867-fa48-4170-bb5b-daf430372bba,2010.0
4586,BRIDGEPORT,TX,76426,1,10450.0,0,Owner,House/Duplex,0.0,0.0,1.0,1042.4,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,1.0,1908.0,1.0,1042.4,0.0,,0.0,,,,,,1.0,0.0,0.0,484971505002022.0,f1b7a053-ca27-4f0f-aa97-96c416c3b14e,2020.0
4339,AGUADA,PR,602,3,22200.0,0,Owner,House/Duplex,0.0,0.0,1.0,3285.41,1.0,0.0,18.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,864.0,1.0,3285.41,0.0,,0.0,,,,,,1.0,0.0,6346.61,720034305012000.0,c86670ab-0127-4af1-bb22-c7ffa3d26267,2010.0
4339,TRUJILLO ALTO,PR,976,1,32265.0,0,Owner,House/Duplex,0.0,1.0,1.0,6480.02,1.0,0.0,0.0,,0.0,0.0,,1.0,1428.8,1.0,0.0,0.0,,1.0,6480.02,0.0,,0.0,,,,,,1.0,0.0,755.15,721390603011001.0,04af1bfc-3892-44cc-a5a9-6639166e94df,2010.0
4332,SPRING,TX,77373,6,65000.0,0,Owner,House/Duplex,1.0,0.0,1.0,20383.1,1.0,0.0,33.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,4618.0,1.0,20383.1,0.0,,0.0,,,,,,1.0,1.0,9168.02,482012413001036.0,31774fbf-9be5-454a-8f10-340e57e78bc6,2010.0
4339,AGUADILLA,PR,603,5,8868.0,0,Owner,House/Duplex,0.0,0.0,1.0,677.46,1.0,0.0,0.0,,0.0,0.0,,1.0,576.0,1.0,0.0,1.0,1160.0,1.0,928.06,0.0,,0.0,,,,,,1.0,1.0,1259.74,720054007003003.0,67e4aedd-73dc-4e59-be73-0ab7dc288fc0,2010.0
4332,DAYTON,TX,77535,1,70000.0,0,Owner,House/Duplex,1.0,0.0,1.0,922.17,1.0,0.0,7.0,,1.0,0.0,,1.0,123.34,0.0,0.0,0.0,,1.0,598.31,0.0,,1.0,,,,,,1.0,0.0,0.0,482917010001039.0,9b29f77e-16dd-4484-a9a3-92612f74759e,2010.0
4611,NEW ORLEANS,LA,70129,1,2400.0,0,Owner,House/Duplex,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,1884.3,0.0,,0.0,,,,,,1.0,0.0,0.0,220710017581060.0,8d58aab8-67b4-4403-9d20-1b610ec2581e,2020.0
4339,CIALES,PR,638,3,0.0,0,Owner,House/Duplex,0.0,0.0,1.0,2133.28,1.0,0.0,0.0,,0.0,0.0,,1.0,30.08,1.0,0.0,0.0,,1.0,2133.28,0.0,,0.0,,,,,,1.0,0.0,1140.66,720399559001034.0,ec1e0ca3-9b19-4e35-9128-71bc0442e50d,2010.0
4332,BAYTOWN,TX,77521,5,90000.0,0,Owner,House/Duplex,0.0,0.0,1.0,13836.85,1.0,0.0,11.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,2912.0,1.0,13836.85,0.0,,0.0,,,,,,1.0,0.0,5097.17,482012532003024.0,0179bc52-ac5d-4cf5-af08-89668e29194e,2010.0
4339,LAS PIEDRAS,PR,771,1,1680.0,0,Owner,House/Duplex,0.0,0.0,1.0,2413.58,1.0,0.0,0.0,,0.0,1.0,56.7,1.0,73.2,1.0,0.0,1.0,918.0,1.0,2413.58,0.0,,0.0,,,,,,1.0,0.0,0.0,720851901021012.0,3abdd795-94b5-4b55-92fc-f0ae88dc1fea,2010.0
4339,CEIBA,PR,735,2,,0,Owner,House/Duplex,0.0,0.0,1.0,3953.24,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,3953.24,0.0,,0.0,,,,,,1.0,0.0,4080.12,720371603003001.0,87debc2b-78d4-42b4-a30a-1047ed16284c,2010.0
4337,CLEWISTON,FL,33440,3,22128.0,1,Owner,House/Duplex,0.0,0.0,1.0,2164.5,1.0,0.0,24.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,1646.0,1.0,2164.5,0.0,,0.0,,,,,,1.0,0.0,0.0,120510006002107.0,b4a76471-5604-4070-8fbb-ce01402c2603,2010.0
4332,VIDOR,TX,77662,3,49400.0,0,Owner,House/Duplex,0.0,0.0,1.0,24640.22,1.0,0.0,48.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,2202.0,1.0,24640.22,0.0,,1.0,,,,,,1.0,0.0,6924.21,483610220002045.0,6c25f0b1-caa8-4b1b-b861-dae8d7fd2013,2010.0
4611,METAIRIE,LA,70003,1,150000.0,0,Owner,House/Duplex,0.0,1.0,1.0,1734.32,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,1734.32,0.0,,0.0,,,,,,1.0,0.0,0.0,220510234003009.0,0057b08c-53a6-4a9d-86a0-69cd17e7192b,2020.0
4337,NORTH FORT MYERS,FL,33917,1,17000.0,0,Owner,Mobile Home,0.0,0.0,1.0,499.5,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,499.5,0.0,,0.0,,,,,,1.0,0.0,0.0,120710203002022.0,34443593-d12d-4654-a64b-272f2022ce62,2010.0
4332,ORANGE,TX,77632,2,50000.0,0,Owner,House/Duplex,1.0,0.0,1.0,12858.93,1.0,0.0,19.0,,1.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,12858.93,0.0,,1.0,,,,,,1.0,0.0,4563.24,483610213002012.0,93c009cc-f4cb-4228-a024-d55b8e315dff,2010.0
4339,HUMACAO,PR,791,2,16932.0,0,Owner,House/Duplex,0.0,0.0,1.0,1152.0,1.0,0.0,0.0,,0.0,0.0,,1.0,1152.0,1.0,0.0,0.0,,1.0,1152.0,0.0,,1.0,,,,,,1.0,0.0,6457.52,,c28e010d-f588-4659-82f0-b52e4d4ee289,
4339,GUANICA,PR,653,4,9312.0,0,Owner,House/Duplex,0.0,0.0,1.0,807.62,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,807.62,0.0,,0.0,,,,,,1.0,1.0,502.86,720559611001019.0,bbff1f40-6aaf-4603-8ab6-82a9aa843066,2010.0
4339,ANASCO,PR,610,1,1380.0,1,Owner,House/Duplex,0.0,0.0,1.0,2109.75,1.0,0.0,0.0,,0.0,0.0,,1.0,1280.0,1.0,0.0,1.0,748.0,1.0,2109.75,0.0,,0.0,,,,,,1.0,1.0,3364.83,720118105003021.0,ce16c608-4897-4f73-adcd-62b7941b9883,2010.0
4339,GUAYAMA PR,PR,784,4,41220.0,0,Owner,House/Duplex,0.0,0.0,1.0,497.91,1.0,0.0,0.0,,0.0,0.0,,1.0,229.36,1.0,0.0,0.0,,1.0,497.91,0.0,,1.0,,,,,,1.0,0.0,3388.58,720572705003014.0,515ee65e-adfd-45ed-8133-36edd52b0c9d,2010.0
4586,JASPER,TX,75951,1,22092.0,0,Owner,House/Duplex,1.0,0.0,1.0,3523.02,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,3516.77,0.0,,0.0,,,,,,1.0,0.0,0.0,482419501021067.0,7c40d7dd-875d-4af1-9ee7-7c2605144c81,2020.0
4339,AGUAS BUENAS,PR,703,1,330024.0,1,Owner,House/Duplex,0.0,0.0,1.0,17156.55,1.0,0.0,0.0,,0.0,0.0,,1.0,3072.0,1.0,0.0,1.0,918.0,1.0,17156.55,0.0,,1.0,,,,,,1.0,0.0,3818.37,720072302003003.0,33787598-44af-4a3b-a4ef-a78db58407a1,2010.0
4339,GURABO,PR,778,1,30000.0,0,Owner,House/Duplex,1.0,0.0,1.0,355.17,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,355.17,0.0,,0.0,,,,,,1.0,0.0,0.0,720632104003006.0,a891a00c-a7db-4f39-8a08-d6efaba9bba8,2010.0
4339,VILLALBA,PR,766,3,16800.0,0,Owner,House/Duplex,0.0,0.0,1.0,724.52,1.0,0.0,3.0,,1.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,724.52,0.0,,0.0,,,,,,1.0,1.0,1194.97,721497205041033.0,d548e782-3428-485f-a940-647ac4e00cf5,2010.0
4339,DORADO,PR,646,2,34020.0,0,Owner,House/Duplex,0.0,0.0,1.0,1631.5,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,1631.5,0.0,,0.0,,,,,,1.0,0.0,881.42,,5fb125e0-6234-41a6-9917-71a275c3769e,
4586,HOUSTON,TX,77033,4,28600.0,0,Owner,House/Duplex,1.0,0.0,1.0,3523.02,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,3523.02,0.0,,0.0,,,,,,1.0,0.0,369.98,482013322002022.0,0e835161-93bf-46df-acd8-057c8cb0cc41,2020.0
4337,MARATHON,FL,33050,2,51000.0,0,Owner,Mobile Home,0.0,0.0,1.0,10499.5,1.0,0.0,11.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,3364.0,1.0,10499.5,0.0,,0.0,,,,,,1.0,0.0,1927.8,120879711001025.0,7286c513-6100-4345-b1c2-601e8cb8b53c,2010.0
4332,HOUSTON,TX,77044,3,24429.0,0,Owner,House/Duplex,1.0,0.0,1.0,11798.49,1.0,0.0,43.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,2912.0,1.0,11798.49,0.0,,0.0,,,,,,1.0,0.0,4702.08,482012323011026.0,83794170-e451-479a-940a-73ed760a0957,2010.0
4339,AGUAS BUENAS,PR,703,1,14904.0,0,Owner,House/Duplex,0.0,0.0,1.0,14146.97,1.0,0.0,0.0,,0.0,0.0,,1.0,5691.1,1.0,0.0,1.0,918.0,1.0,14146.97,0.0,,0.0,,,,,,1.0,1.0,881.55,720072302002010.0,5af76649-225d-4cab-a9a7-f50e3573669d,2010.0
4339,CAROLINA,PR,985,1,19530.0,0,Owner,House/Duplex,0.0,0.0,1.0,939.5,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,939.5,0.0,,0.0,,,,,,1.0,0.0,682.56,,f4832d95-5017-4041-a209-378562cf33fd,
4339,MOROVIS,PR,687,1,,0,Owner,Mobile Home,0.0,0.0,1.0,1861.92,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,1861.92,0.0,,0.0,,,,,,1.0,0.0,755.15,721019554011041.0,c8f924ca-3968-4394-ba37-37f3d0ed9b8f,2010.0
4339,GUAYAMA,PR,784,1,15000.0,0,Owner,House/Duplex,0.0,0.0,1.0,1570.48,1.0,0.0,0.0,,0.0,0.0,,1.0,576.0,1.0,0.0,0.0,,1.0,1570.48,0.0,,0.0,,,,,,1.0,0.0,0.0,720572703003005.0,063fd130-2a72-4f84-b9ce-211536bc7ee9,2010.0
4339,LAS PIEDRAS,PR,771,1,10704.0,0,Owner,House/Duplex,0.0,0.0,1.0,660.29,1.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,660.29,0.0,,0.0,,,,,,1.0,1.0,774.62,720851903013017.0,e36219fa-6238-4226-9bfd-fce6094659b7,2010.0
4337,RIVERVIEW,FL,33569,1,,0,Owner,Mobile Home,0.0,0.0,1.0,499.5,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,499.5,0.0,,0.0,,,,,,1.0,0.0,341.7,120570139181004.0,0f7a2f66-2d94-4fa0-8826-a30830ef5399,2010.0
4339,VEGA BAJA,PR,693,1,10188.0,0,Owner,House/Duplex,0.0,0.0,1.0,399.04,1.0,0.0,0.0,,0.0,0.0,,1.0,30.5,1.0,0.0,1.0,459.0,1.0,399.04,0.0,,0.0,,,,,,1.0,1.0,463.09,,40a14f1c-f17b-47d5-a992-be0e245503ce,
4332,SANTA FE,TX,77510,4,100000.0,0,Owner,House/Duplex,1.0,0.0,1.0,10971.95,1.0,0.0,8.0,,1.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,10949.83,0.0,,0.0,,,,,,1.0,0.0,3432.99,481677235023004.0,eec0c1ed-591a-4ab8-9d89-9f413f1bcd3f,2010.0
4337,KISSIMMEE,FL,34743,3,6000.0,1,Owner,House/Duplex,1.0,0.0,1.0,2164.5,1.0,0.0,1.0,,1.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,1665.0,0.0,,0.0,,,,,,1.0,1.0,341.7,120970427021069.0,6e305d49-8b78-4020-96e3-f125314ef584,2010.0
4559,GRAND CHENIER,LA,70643,1,30000.0,0,Owner,House/Duplex,1.0,1.0,1.0,14563.96,1.0,0.0,6.0,,1.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,307.13,0.0,,0.0,,,,,,1.0,0.0,1199.89,220239701023167.0,dd10b7b5-7f49-44ca-aab4-d1a9c5e84bc7,2020.0
4332,DAYTON,TX,77535,4,175731.0,0,Owner,House/Duplex,1.0,0.0,1.0,21758.13,1.0,0.0,5.0,,1.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,21758.13,0.0,,0.0,,,,,,1.0,0.0,1010.9,482917010003044.0,367c2263-5daf-4823-be47-dc10df982916,2010.0
4332,HOUSTON,TX,77028,2,12000.0,0,Owner,House/Duplex,0.0,0.0,1.0,11493.75,1.0,0.0,15.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,1952.0,1.0,11493.75,0.0,,0.0,,,,,,1.0,1.0,5381.89,482012310002009.0,9d4fbc39-6d84-4ad2-bc7a-27cf55f91aee,2010.0
4332,ORANGE,TX,77630,1,90360.0,0,Owner,House/Duplex,1.0,0.0,1.0,20431.86,1.0,0.0,28.0,,1.0,0.0,,0.0,,1.0,0.0,1.0,832.0,1.0,19598.26,0.0,,0.0,,,,,,1.0,0.0,4163.03,483610222001012.0,397a0741-2273-48dd-ae09-4860ce470dc4,2010.0
4559,LEESVILLE,LA,71446,2,24000.0,1,Owner,House/Duplex,0.0,0.0,1.0,1568.43,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.0,1568.43,0.0,,0.0,,,,,,1.0,0.0,86.64,221159509012006.0,a00200db-5847-4434-90ff-3be0daec95bd,2020.0
